metric,mean_diff,median_diff,p_value,cohens_d,n_pairs
recall@10,0.2854166666666666,0.39999999999999997,0.004065712010385056,0.7808460208622929,24
ndcg@10,0.2936589356060363,0.231445872813055,0.0015605313222048064,0.8567774212159776,24
mrr,0.32639583498716623,0.20833333333333337,0.0023978841526853165,0.7697398603203041,24
