method,metric,n,mean,median,std,ci_low,ci_high
cbf,recall@10,24,0.4916666666666667,0.5,0.3292870354126036,0.35833333333333334,0.6166666666666667
cbf,ndcg@10,24,0.33307699646413313,0.3531298226871046,0.2504443182978859,0.2469807183050089,0.44327895962876124
cbf,mrr,24,0.35244859307359305,0.225,0.32965311946191317,0.24247424725768835,0.5041025603053112
cbf,arp@10,24,59.6875,58.05,13.860651609627821,54.70579339404753,65.51139497312415
cbf,long_tail_share@10,24,0.1625,0.2,0.1345281609439322,0.1125,0.21666666666666667
cbf,genre_diversity@10,24,0.5125000000000001,0.6,0.1962972457668527,0.42994836291793515,0.5833333333333334
claude_no_history,recall@10,24,0.15208333333333332,0.1,0.1850259480431741,0.08907592603755674,0.2333333333333333
claude_no_history,ndcg@10,24,0.0815019377463634,0.0490196429156785,0.09316463374038797,0.0485636854573723,0.11978598661468468
claude_no_history,mrr,24,0.1315587104673792,0.09545454545454546,0.10339282170395662,0.10069910817838629,0.19048133628597957
claude_no_history,arp@10,24,59.87083333333333,59.4,12.274663872726038,55.325609137355684,64.87417222157526
claude_no_history,long_tail_share@10,24,0.19583333333333333,0.2,0.13666578295932036,0.1416666666666667,0.25
claude_no_history,genre_diversity@10,24,0.5291666666666667,0.55,0.11601786469133203,0.48260750363735244,0.5708333333333333
claude_with_history,recall@10,24,0.4375,0.4,0.34337237712428276,0.29916979612302946,0.5736111111111111
claude_with_history,ndcg@10,24,0.3751608733523997,0.3403591172246112,0.3314351978548991,0.24768955969962364,0.5215529469994589
claude_with_history,mrr,24,0.4579545454545455,0.3333333333333333,0.38314890372707444,0.31995664529814094,0.6228850318019354
claude_with_history,arp@10,24,58.6,56.150000000000006,12.732840114888129,53.62779656365693,63.523656725311966
claude_with_history,long_tail_share@10,24,0.1708333333333333,0.15000000000000002,0.15174110293140938,0.11666666666666664,0.23750000000000002
claude_with_history,genre_diversity@10,24,0.47500000000000003,0.45,0.16746187106583266,0.4125,0.5375
gpt41_with_history,recall@10,24,0.43124999999999997,0.4,0.31309243360496003,0.315686031155046,0.5597222222222222
gpt41_with_history,ndcg@10,24,0.3758521666464285,0.3644125768310663,0.30809584053985317,0.26101242110020034,0.5046143548574757
gpt41_with_history,mrr,24,0.4951145498020497,0.29166666666666663,0.41560567474061727,0.3336442817521157,0.657037419233309
gpt41_with_history,arp@10,24,55.975,54.85,12.684370732108283,51.2805177992224,60.90833333333333
gpt41_with_history,long_tail_share@10,24,0.1875,0.2,0.1541103500742244,0.13333333333333333,0.25416666666666665
gpt41_with_history,genre_diversity@10,24,0.48333333333333334,0.5,0.16854019432007686,0.4166666666666667,0.5499999999999999
item_knn,recall@10,24,0.35763888888888884,0.29166666666666663,0.34665339880778895,0.24375,0.5152777777777778
item_knn,ndcg@10,24,0.3055696352581539,0.23591853789033718,0.3044380590023208,0.20461609154162225,0.438663180435392
item_knn,mrr,24,0.4182687621832358,0.3333333333333333,0.3474819768668724,0.2937259782363584,0.5622067441375034
item_knn,arp@10,24,57.166666666666664,55.85,8.682299167880574,53.895833333333336,60.65416666666666
item_knn,long_tail_share@10,24,0.1708333333333333,0.2,0.10826363421183322,0.125,0.2125
item_knn,genre_diversity@10,24,0.5791666666666666,0.6,0.1350657381543832,0.525,0.6333333333333333
popularity,recall@10,24,0.2604166666666667,0.2,0.2777937797323241,0.15509671012826975,0.375
popularity,ndcg@10,24,0.16797151227592236,0.10251620909931035,0.19558241675653434,0.0977729589363875,0.2544875238493843
popularity,mrr,24,0.1936808323756853,0.1,0.215826360511058,0.13133175410159756,0.3253694817889525
popularity,arp@10,24,74.325,73.05,6.145075794629317,72.29767564367683,77.04536076903486
popularity,long_tail_share@10,24,0.0,0.0,0.0,,
popularity,genre_diversity@10,24,0.4916666666666667,0.5,0.17424786610050555,0.42499999999999993,0.5583333333333333
random,recall@10,24,0.4770833333333333,0.5,0.18597000563308344,0.39999999999999997,0.5472222222222222
random,ndcg@10,24,0.2983000974171221,0.2298028047245306,0.17508175079508093,0.2415279108279505,0.3801971628732693
random,mrr,24,0.29852843915343913,0.225,0.25236086288344606,0.22699618796221852,0.4344980936079521
random,arp@10,24,57.48749999999999,54.75,11.512198162025319,53.20416666666667,62.284280555527246
random,long_tail_share@10,24,0.20000000000000004,0.2,0.1414213562373095,0.15416666666666667,0.26666666666666666
random,genre_diversity@10,24,0.6666666666666666,0.7,0.17362294645648624,0.6041666666666666,0.7333333333333334
